time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-16 00:00:00+00:00,31,8,0,0
2026-04-17 00:00:00+00:00,38,10,0,0
2026-04-18 00:00:00+00:00,27,8,0,0
2026-04-19 00:00:00+00:00,22,9,0,0
2026-04-20 00:00:00+00:00,49,16,0,0
2026-04-21 00:00:00+00:00,91,35,1,1
2026-04-22 00:00:00+00:00,91,30,1,1
2026-04-23 00:00:00+00:00,98,27,0,0
2026-04-24 00:00:00+00:00,78,30,0,0
2026-04-25 00:00:00+00:00,85,32,0,0
2026-04-26 00:00:00+00:00,38,11,0,0
2026-04-27 00:00:00+00:00,33,9,0,0
2026-04-28 00:00:00+00:00,21,6,0,0
2026-04-29 00:00:00+00:00,36,9,0,0
